0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:46:09 +0700] "GET /cvietnamwork/public/404.jsp HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:46:49 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:49:23 +0700] "GET /cvietnamwork/public/contact.jsp HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:49:23 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:49:23 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:49:44 +0700] "GET /cvietnamwork/public/contact.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:50:31 +0700] "GET /cvietnamwork/public/contact.jsp HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:52:36 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:17 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:17 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:18 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:18 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:19 +0700] "POST /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:24 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:26 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:27 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:53:47 +0700] "GET /cvietnamwork/public/contact.jsp HTTP/1.1" 200 1664
